feature,importance
days_until_delivery,0.2680693393423155
freight_ratio,0.13019840931357196
freight_value,0.12975085692797209
weight_per_price,0.12664549366986777
price,0.11795632342626242
volume,0.11535714569442822
product_weight_g,0.09681352544952891
same_state,0.015208906176053194
