Metric,Value
Total Orders,99441.0
Total Revenue,13591643.7
Avg Order Value,120.65373901464713
Total Customers,99441.0
Total Products,32951.0
Avg Delivery Days,12.558217098051923
Avg Review Score,4.08642062404257
